timestamp,campaign,lower_percentile,upper_percentile,n_devices
2018-09-06 00:00:00 UTC,1,97.0,98.0,16403
2018-09-12 00:00:00 UTC,2,96.0,97.0,5911
2018-09-22 00:00:00 UTC,1,95.0,96.0,19445
2018-09-18 00:00:00 UTC,1,99.0,100.0,8392
2018-09-08 00:00:00 UTC,1,96.0,97.0,1039
2018-09-08 00:00:00 UTC,2,99.0,100.0,9
2018-09-14 00:00:00 UTC,1,97.0,98.0,15523
2018-09-15 00:00:00 UTC,2,95.0,96.0,5474
2018-09-17 00:00:00 UTC,1,99.0,100.0,7352
2018-09-23 00:00:00 UTC,1,97.0,98.0,9012
2018-09-11 00:00:00 UTC,2,96.0,97.0,12844
2018-09-06 00:00:00 UTC,2,96.0,97.0,11453
2018-09-10 00:00:00 UTC,2,99.0,100.0,42
2018-09-24 00:00:00 UTC,1,97.0,98.0,14926
2018-09-18 00:00:00 UTC,1,96.0,97.0,15777
2018-09-07 00:00:00 UTC,1,98.0,99.0,4253
2018-09-18 00:00:00 UTC,1,95.0,96.0,15454
2018-09-11 00:00:00 UTC,1,98.0,99.0,32110
2018-09-19 00:00:00 UTC,2,98.0,99.0,7331
2018-09-17 00:00:00 UTC,2,95.0,96.0,6400
2018-09-10 00:00:00 UTC,2,95.0,96.0,18023
2018-09-15 00:00:00 UTC,1,95.0,96.0,18257
2018-09-24 00:00:00 UTC,2,97.0,98.0,6157
2018-09-06 00:00:00 UTC,2,98.0,99.0,9724
2018-09-13 00:00:00 UTC,1,98.0,99.0,32994
2018-09-20 00:00:00 UTC,2,97.0,98.0,6490
2018-09-14 00:00:00 UTC,2,95.0,96.0,6499
2018-09-19 00:00:00 UTC,1,97.0,98.0,27180
2018-09-06 00:00:00 UTC,1,98.0,99.0,215
2018-09-12 00:00:00 UTC,1,98.0,99.0,189
2018-09-22 00:00:00 UTC,2,97.0,98.0,5210
2018-09-17 00:00:00 UTC,2,96.0,97.0,6035
2018-09-20 00:00:00 UTC,1,99.0,100.0,11876
2018-09-09 00:00:00 UTC,1,95.0,96.0,25948
2018-09-23 00:00:00 UTC,1,95.0,96.0,8397
2018-09-10 00:00:00 UTC,1,95.0,96.0,39791
2018-09-17 00:00:00 UTC,1,95.0,96.0,11043
2018-09-12 00:00:00 UTC,1,97.0,98.0,31096
2018-09-22 00:00:00 UTC,2,96.0,97.0,6781
2018-09-07 00:00:00 UTC,2,96.0,97.0,11897
2018-09-23 00:00:00 UTC,2,95.0,96.0,2856
2018-09-19 00:00:00 UTC,2,95.0,96.0,9948
2018-09-16 00:00:00 UTC,2,95.0,96.0,3868
2018-09-12 00:00:00 UTC,2,97.0,98.0,11706
2018-09-08 00:00:00 UTC,2,98.0,99.0,11570
2018-09-07 00:00:00 UTC,1,97.0,98.0,25982
2018-09-20 00:00:00 UTC,2,95.0,96.0,6669
2018-09-13 00:00:00 UTC,1,96.0,97.0,25212
2018-09-16 00:00:00 UTC,2,96.0,97.0,1968
2018-09-09 00:00:00 UTC,2,98.0,99.0,379
